
Integration time [ms]:   1.000
Averaging Nr. [scans]: 1
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: UV2
Wave   ;Sample   ;Dark     ;Reference
[nm]   ;[counts] ;[counts] ;[counts] 

353.533;  226.850;    0.000;    0.000
353.597;  234.850;    0.000;    0.000
353.660;  222.850;    0.000;    0.000
353.723;  198.850;    0.000;    0.000
353.786;  232.850;    0.000;    0.000
353.850;  190.850;    0.000;    0.000
353.913;  196.850;    0.000;    0.000
353.976;  200.850;    0.000;    0.000
354.039;  222.850;    0.000;    0.000
354.102;  233.850;    0.000;    0.000
354.166;  222.850;    0.000;    0.000
354.229;  211.850;    0.000;    0.000
354.292;  171.850;    0.000;    0.000
354.355;  212.850;    0.000;    0.000
354.418;  186.850;    0.000;    0.000
354.481;  212.850;    0.000;    0.000
354.545;  405.850;    0.000;    0.000
354.608;  457.850;    0.000;    0.000
354.671;  393.850;    0.000;    0.000
354.734;  426.850;    0.000;    0.000
354.797;  401.850;    0.000;    0.000
354.860;  414.850;    0.000;    0.000
354.923;  410.850;    0.000;    0.000
354.986;  394.850;    0.000;    0.000
355.050;  394.850;    0.000;    0.000
355.113;  414.850;    0.000;    0.000
355.176;  416.850;    0.000;    0.000
355.239;  426.850;    0.000;    0.000
355.302;  444.850;    0.000;    0.000
355.365;  470.850;    0.000;    0.000
355.428;  470.850;    0.000;    0.000
355.491;  435.850;    0.000;    0.000
355.554;  408.850;    0.000;    0.000
355.617;  403.850;    0.000;    0.000
355.680;  452.850;    0.000;    0.000
355.743;  432.850;    0.000;    0.000
355.806;  439.850;    0.000;    0.000
355.869;  493.850;    0.000;    0.000
355.932;  463.850;    0.000;    0.000
355.995;  493.850;    0.000;    0.000
356.058;  447.850;    0.000;    0.000
356.121;  433.850;    0.000;    0.000
356.184;  470.850;    0.000;    0.000
356.247;  441.850;    0.000;    0.000
356.310;  398.850;    0.000;    0.000
356.373;  517.850;    0.000;    0.000
356.436;  474.850;    0.000;    0.000
356.498;  470.850;    0.000;    0.000
356.561;  440.850;    0.000;    0.000
356.624;  502.850;    0.000;    0.000
356.687;  488.850;    0.000;    0.000
356.750;  484.850;    0.000;    0.000
356.813;  430.850;    0.000;    0.000
356.876;  473.850;    0.000;    0.000
