
Integration time [ms]:   1.000
Averaging Nr. [scans]: 1
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: NIR
Wave   ;Sample   ;Dark     ;Reference
[nm]   ;[counts] ;[counts] ;[counts] 

691.496;   16.525;    0.000;    0.000
691.696;   93.525;    0.000;    0.000
691.896;   41.525;    0.000;    0.000
692.096;   77.525;    0.000;    0.000
692.296;    6.525;    0.000;    0.000
692.496;   62.525;    0.000;    0.000
692.695;   39.525;    0.000;    0.000
692.895;   41.525;    0.000;    0.000
693.095;   25.525;    0.000;    0.000
693.295;   89.525;    0.000;    0.000
693.495;   71.525;    0.000;    0.000
693.695;   42.525;    0.000;    0.000
693.894;   73.525;    0.000;    0.000
694.094;   35.525;    0.000;    0.000
694.294;   55.525;    0.000;    0.000
694.494;  246.525;    0.000;    0.000
694.693; 1621.525;    0.000;    0.000
694.893; 1679.525;    0.000;    0.000
695.093; 1748.525;    0.000;    0.000
695.293; 1682.525;    0.000;    0.000
695.492; 1809.525;    0.000;    0.000
695.692; 1841.525;    0.000;    0.000
695.891; 1830.525;    0.000;    0.000
696.091; 1856.525;    0.000;    0.000
696.291; 1845.525;    0.000;    0.000
696.490; 1829.525;    0.000;    0.000
696.690; 1827.525;    0.000;    0.000
696.889; 1851.525;    0.000;    0.000
697.089; 1794.525;    0.000;    0.000
697.288; 1883.525;    0.000;    0.000
697.488; 1815.525;    0.000;    0.000
697.687; 1926.525;    0.000;    0.000
697.887; 1814.525;    0.000;    0.000
698.086; 1939.525;    0.000;    0.000
698.286; 1864.525;    0.000;    0.000
698.485; 1828.525;    0.000;    0.000
698.684; 1881.525;    0.000;    0.000
698.884; 1955.525;    0.000;    0.000
699.083; 1802.525;    0.000;    0.000
699.282; 1792.525;    0.000;    0.000
699.482; 1894.525;    0.000;    0.000
699.681; 1875.525;    0.000;    0.000
699.880; 1866.525;    0.000;    0.000
700.080; 1897.525;    0.000;    0.000
700.279; 1820.525;    0.000;    0.000
700.478; 1937.525;    0.000;    0.000
700.677; 1860.525;    0.000;    0.000
700.877; 1943.525;    0.000;    0.000
701.076; 1915.525;    0.000;    0.000
701.275; 1894.525;    0.000;    0.000
701.474; 1895.525;    0.000;    0.000
701.673; 1896.525;    0.000;    0.000
