
Integration time [ms]:   1.000
Averaging Nr. [scans]: 1
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: VIS
Wave   ;Sample   ;Dark     ;Reference
[nm]   ;[counts] ;[counts] ;[counts] 

450.961;  205.950;    0.000;    0.000
451.100;  196.950;    0.000;    0.000
451.239;  212.950;    0.000;    0.000
451.377;  276.950;    0.000;    0.000
451.516;  203.950;    0.000;    0.000
451.655;  231.950;    0.000;    0.000
451.794;  210.950;    0.000;    0.000
451.932;  256.950;    0.000;    0.000
452.071;  206.950;    0.000;    0.000
452.210;  216.950;    0.000;    0.000
452.348;  206.950;    0.000;    0.000
452.487;  247.950;    0.000;    0.000
452.626;  242.950;    0.000;    0.000
452.764;  223.950;    0.000;    0.000
452.903;  226.950;    0.000;    0.000
453.042;  311.950;    0.000;    0.000
453.180; 3934.950;    0.000;    0.000
453.319; 3889.950;    0.000;    0.000
453.458; 4042.950;    0.000;    0.000
453.596; 4095.950;    0.000;    0.000
453.735; 4054.950;    0.000;    0.000
453.873; 4013.950;    0.000;    0.000
454.012; 4197.950;    0.000;    0.000
454.150; 4091.950;    0.000;    0.000
454.289; 4134.950;    0.000;    0.000
454.427; 4153.950;    0.000;    0.000
454.566; 4179.950;    0.000;    0.000
454.704; 4335.950;    0.000;    0.000
454.843; 4334.950;    0.000;    0.000
454.981; 4375.950;    0.000;    0.000
455.120; 4385.950;    0.000;    0.000
455.258; 4498.950;    0.000;    0.000
455.397; 4374.950;    0.000;    0.000
455.535; 4465.950;    0.000;    0.000
455.674; 4458.950;    0.000;    0.000
455.812; 4577.950;    0.000;    0.000
455.951; 4593.950;    0.000;    0.000
456.089; 4593.950;    0.000;    0.000
456.227; 4649.950;    0.000;    0.000
456.366; 4687.950;    0.000;    0.000
456.504; 4801.950;    0.000;    0.000
456.642; 4841.950;    0.000;    0.000
456.781; 4723.950;    0.000;    0.000
456.919; 4707.950;    0.000;    0.000
457.057; 4622.950;    0.000;    0.000
457.196; 4721.950;    0.000;    0.000
457.334; 4707.950;    0.000;    0.000
457.472; 4692.950;    0.000;    0.000
457.610; 4820.950;    0.000;    0.000
457.749; 4929.950;    0.000;    0.000
457.887; 4999.950;    0.000;    0.000
458.025; 5244.950;    0.000;    0.000
