Pellet-T1_position1_Burst5_n5
Integration time [ms]:   1.000
Averaging Nr. [scans]: 1
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: NIR
Wave   ;Sample   ;Dark     ;Reference
[nm]   ;[counts] ;[counts] ;[counts] 

691.496;    2.800;    0.000;    0.000
691.696;   43.800;    0.000;    0.000
691.896;   -0.200;    0.000;    0.000
692.096;   27.800;    0.000;    0.000
692.296;   16.800;    0.000;    0.000
692.496;   70.800;    0.000;    0.000
692.695;    0.800;    0.000;    0.000
692.895;   50.800;    0.000;    0.000
693.095;   -5.200;    0.000;    0.000
693.295;   89.800;    0.000;    0.000
693.495;   36.800;    0.000;    0.000
693.695;   35.800;    0.000;    0.000
693.894;   30.800;    0.000;    0.000
694.094;   66.800;    0.000;    0.000
694.294;   55.800;    0.000;    0.000
694.494;  191.800;    0.000;    0.000
694.693; 1360.800;    0.000;    0.000
694.893; 1450.800;    0.000;    0.000
695.093; 1456.800;    0.000;    0.000
695.293; 1492.800;    0.000;    0.000
695.492; 1458.800;    0.000;    0.000
695.692; 1523.800;    0.000;    0.000
695.891; 1506.800;    0.000;    0.000
696.091; 1575.800;    0.000;    0.000
696.291; 1453.800;    0.000;    0.000
696.490; 1476.800;    0.000;    0.000
696.690; 1490.800;    0.000;    0.000
696.889; 1524.800;    0.000;    0.000
697.089; 1470.800;    0.000;    0.000
697.288; 1555.800;    0.000;    0.000
697.488; 1529.800;    0.000;    0.000
697.687; 1532.800;    0.000;    0.000
697.887; 1523.800;    0.000;    0.000
698.086; 1512.800;    0.000;    0.000
698.286; 1502.800;    0.000;    0.000
698.485; 1571.800;    0.000;    0.000
698.684; 1565.800;    0.000;    0.000
698.884; 1576.800;    0.000;    0.000
699.083; 1547.800;    0.000;    0.000
699.282; 1636.800;    0.000;    0.000
699.482; 1582.800;    0.000;    0.000
699.681; 1581.800;    0.000;    0.000
699.880; 1625.800;    0.000;    0.000
700.080; 1602.800;    0.000;    0.000
700.279; 1559.800;    0.000;    0.000
700.478; 1576.800;    0.000;    0.000
700.677; 1623.800;    0.000;    0.000
700.877; 1647.800;    0.000;    0.000
701.076; 1644.800;    0.000;    0.000
701.275; 1616.800;    0.000;    0.000
701.474; 1587.800;    0.000;    0.000
