Pellet-T1_position1_Burst5_n5
Integration time [ms]:   1.000
Averaging Nr. [scans]: 1
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: UV2
Wave   ;Sample   ;Dark     ;Reference
[nm]   ;[counts] ;[counts] ;[counts] 

353.533;  257.825;    0.000;    0.000
353.597;  229.825;    0.000;    0.000
353.660;  202.825;    0.000;    0.000
353.723;  187.825;    0.000;    0.000
353.786;  233.825;    0.000;    0.000
353.850;  200.825;    0.000;    0.000
353.913;  182.825;    0.000;    0.000
353.976;  215.825;    0.000;    0.000
354.039;  169.825;    0.000;    0.000
354.102;  222.825;    0.000;    0.000
354.166;  226.825;    0.000;    0.000
354.229;  227.825;    0.000;    0.000
354.292;  167.825;    0.000;    0.000
354.355;  246.825;    0.000;    0.000
354.418;  169.825;    0.000;    0.000
354.481;  227.825;    0.000;    0.000
354.545;  385.825;    0.000;    0.000
354.608;  417.825;    0.000;    0.000
354.671;  393.825;    0.000;    0.000
354.734;  426.825;    0.000;    0.000
354.797;  391.825;    0.000;    0.000
354.860;  434.825;    0.000;    0.000
354.923;  434.825;    0.000;    0.000
354.986;  424.825;    0.000;    0.000
355.050;  399.825;    0.000;    0.000
355.113;  389.825;    0.000;    0.000
355.176;  471.825;    0.000;    0.000
355.239;  445.825;    0.000;    0.000
355.302;  450.825;    0.000;    0.000
355.365;  493.825;    0.000;    0.000
355.428;  418.825;    0.000;    0.000
355.491;  495.825;    0.000;    0.000
355.554;  454.825;    0.000;    0.000
355.617;  453.825;    0.000;    0.000
355.680;  418.825;    0.000;    0.000
355.743;  451.825;    0.000;    0.000
355.806;  465.825;    0.000;    0.000
355.869;  483.825;    0.000;    0.000
355.932;  436.825;    0.000;    0.000
355.995;  467.825;    0.000;    0.000
356.058;  449.825;    0.000;    0.000
356.121;  476.825;    0.000;    0.000
356.184;  509.825;    0.000;    0.000
356.247;  456.825;    0.000;    0.000
356.310;  427.825;    0.000;    0.000
356.373;  460.825;    0.000;    0.000
356.436;  490.825;    0.000;    0.000
356.498;  504.825;    0.000;    0.000
356.561;  432.825;    0.000;    0.000
356.624;  485.825;    0.000;    0.000
356.687;  456.825;    0.000;    0.000
356.750;  449.825;    0.000;    0.000
356.813;  456.825;    0.000;    0.000
