
Integration time [ms]:   1.000
Averaging Nr. [scans]: 1
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: UV2
Wave   ;Sample   ;Dark     ;Reference
[nm]   ;[counts] ;[counts] ;[counts] 

353.533;  216.850;    0.000;    0.000
353.597;  229.850;    0.000;    0.000
353.660;  229.850;    0.000;    0.000
353.723;  234.850;    0.000;    0.000
353.786;  197.850;    0.000;    0.000
353.850;  244.850;    0.000;    0.000
353.913;  178.850;    0.000;    0.000
353.976;  198.850;    0.000;    0.000
354.039;  183.850;    0.000;    0.000
354.102;  192.850;    0.000;    0.000
354.166;  238.850;    0.000;    0.000
354.229;  229.850;    0.000;    0.000
354.292;  207.850;    0.000;    0.000
354.355;  209.850;    0.000;    0.000
354.418;  206.850;    0.000;    0.000
354.481;  217.850;    0.000;    0.000
354.545;  454.850;    0.000;    0.000
354.608;  463.850;    0.000;    0.000
354.671;  464.850;    0.000;    0.000
354.734;  463.850;    0.000;    0.000
354.797;  474.850;    0.000;    0.000
354.860;  495.850;    0.000;    0.000
354.923;  469.850;    0.000;    0.000
354.986;  442.850;    0.000;    0.000
355.050;  501.850;    0.000;    0.000
355.113;  509.850;    0.000;    0.000
355.176;  487.850;    0.000;    0.000
355.239;  522.850;    0.000;    0.000
355.302;  511.850;    0.000;    0.000
355.365;  528.850;    0.000;    0.000
355.428;  536.850;    0.000;    0.000
355.491;  529.850;    0.000;    0.000
355.554;  439.850;    0.000;    0.000
355.617;  537.850;    0.000;    0.000
355.680;  516.850;    0.000;    0.000
355.743;  476.850;    0.000;    0.000
355.806;  504.850;    0.000;    0.000
355.869;  569.850;    0.000;    0.000
355.932;  472.850;    0.000;    0.000
355.995;  530.850;    0.000;    0.000
356.058;  526.850;    0.000;    0.000
356.121;  502.850;    0.000;    0.000
356.184;  534.850;    0.000;    0.000
356.247;  528.850;    0.000;    0.000
356.310;  481.850;    0.000;    0.000
356.373;  559.850;    0.000;    0.000
356.436;  557.850;    0.000;    0.000
356.498;  543.850;    0.000;    0.000
356.561;  566.850;    0.000;    0.000
356.624;  520.850;    0.000;    0.000
356.687;  541.850;    0.000;    0.000
356.750;  544.850;    0.000;    0.000
356.813;  541.850;    0.000;    0.000
356.876;  589.850;    0.000;    0.000
