
Integration time [ms]:   1.000
Averaging Nr. [scans]: 1
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: NIR
Wave   ;Sample   ;Dark     ;Reference
[nm]   ;[counts] ;[counts] ;[counts] 

691.496;   35.450;    0.000;    0.000
691.696;   42.450;    0.000;    0.000
691.896;   -8.550;    0.000;    0.000
692.096;   67.450;    0.000;    0.000
692.296;   -3.550;    0.000;    0.000
692.496;   81.450;    0.000;    0.000
692.695;   19.450;    0.000;    0.000
692.895;   73.450;    0.000;    0.000
693.095;   23.450;    0.000;    0.000
693.295;   42.450;    0.000;    0.000
693.495;   56.450;    0.000;    0.000
693.695;   11.450;    0.000;    0.000
693.894;   34.450;    0.000;    0.000
694.094;   57.450;    0.000;    0.000
694.294;    3.450;    0.000;    0.000
694.494;  200.450;    0.000;    0.000
694.693; 1537.450;    0.000;    0.000
694.893; 1617.450;    0.000;    0.000
695.093; 1676.450;    0.000;    0.000
695.293; 1649.450;    0.000;    0.000
695.492; 1682.450;    0.000;    0.000
695.692; 1686.450;    0.000;    0.000
695.891; 1726.450;    0.000;    0.000
696.091; 1710.450;    0.000;    0.000
696.291; 1732.450;    0.000;    0.000
696.490; 1695.450;    0.000;    0.000
696.690; 1693.450;    0.000;    0.000
696.889; 1785.450;    0.000;    0.000
697.089; 1731.450;    0.000;    0.000
697.288; 1758.450;    0.000;    0.000
697.488; 1741.450;    0.000;    0.000
697.687; 1770.450;    0.000;    0.000
697.887; 1762.450;    0.000;    0.000
698.086; 1863.450;    0.000;    0.000
698.286; 1767.450;    0.000;    0.000
698.485; 1730.450;    0.000;    0.000
698.684; 1783.450;    0.000;    0.000
698.884; 1817.450;    0.000;    0.000
699.083; 1755.450;    0.000;    0.000
699.282; 1793.450;    0.000;    0.000
699.482; 1815.450;    0.000;    0.000
699.681; 1775.450;    0.000;    0.000
699.880; 1936.450;    0.000;    0.000
700.080; 1813.450;    0.000;    0.000
700.279; 1820.450;    0.000;    0.000
700.478; 1799.450;    0.000;    0.000
700.677; 1813.450;    0.000;    0.000
700.877; 1770.450;    0.000;    0.000
701.076; 1804.450;    0.000;    0.000
701.275; 1790.450;    0.000;    0.000
701.474; 1795.450;    0.000;    0.000
701.673; 1856.450;    0.000;    0.000
