Pellet-T1_position1_Burst5_n5
Integration time [ms]:   1.000
Averaging Nr. [scans]: 1
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: VIS
Wave   ;Sample   ;Dark     ;Reference
[nm]   ;[counts] ;[counts] ;[counts] 

450.961;  215.375;    0.000;    0.000
451.100;  237.375;    0.000;    0.000
451.239;  206.375;    0.000;    0.000
451.377;  255.375;    0.000;    0.000
451.516;  184.375;    0.000;    0.000
451.655;  199.375;    0.000;    0.000
451.794;  226.375;    0.000;    0.000
451.932;  223.375;    0.000;    0.000
452.071;  219.375;    0.000;    0.000
452.210;  236.375;    0.000;    0.000
452.348;  217.375;    0.000;    0.000
452.487;  207.375;    0.000;    0.000
452.626;  215.375;    0.000;    0.000
452.764;  227.375;    0.000;    0.000
452.903;  224.375;    0.000;    0.000
453.042;  268.375;    0.000;    0.000
453.180; 3251.375;    0.000;    0.000
453.319; 3315.375;    0.000;    0.000
453.458; 3393.375;    0.000;    0.000
453.596; 3342.375;    0.000;    0.000
453.735; 3474.375;    0.000;    0.000
453.873; 3353.375;    0.000;    0.000
454.012; 3481.375;    0.000;    0.000
454.150; 3532.375;    0.000;    0.000
454.289; 3557.375;    0.000;    0.000
454.427; 3611.375;    0.000;    0.000
454.566; 3582.375;    0.000;    0.000
454.705; 3586.375;    0.000;    0.000
454.843; 3570.375;    0.000;    0.000
454.981; 3744.375;    0.000;    0.000
455.120; 3735.375;    0.000;    0.000
455.258; 3765.375;    0.000;    0.000
455.397; 3725.375;    0.000;    0.000
455.535; 3775.375;    0.000;    0.000
455.674; 3864.375;    0.000;    0.000
455.812; 3801.375;    0.000;    0.000
455.950; 3900.375;    0.000;    0.000
456.089; 3900.375;    0.000;    0.000
456.227; 3991.375;    0.000;    0.000
456.366; 3996.375;    0.000;    0.000
456.504; 4046.375;    0.000;    0.000
456.642; 4054.375;    0.000;    0.000
456.781; 4102.375;    0.000;    0.000
456.919; 3955.375;    0.000;    0.000
457.057; 4008.375;    0.000;    0.000
457.196; 3825.375;    0.000;    0.000
457.334; 4115.375;    0.000;    0.000
457.472; 4001.375;    0.000;    0.000
457.610; 4101.375;    0.000;    0.000
457.749; 4180.375;    0.000;    0.000
457.887; 4326.375;    0.000;    0.000
458.025; 4409.375;    0.000;    0.000
