
Integration time [ms]:   1.000
Averaging Nr. [scans]: 1
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: VIS
Wave   ;Sample   ;Dark     ;Reference
[nm]   ;[counts] ;[counts] ;[counts] 

450.961;  234.325;    0.000;    0.000
451.100;  206.325;    0.000;    0.000
451.239;  205.325;    0.000;    0.000
451.377;  222.325;    0.000;    0.000
451.516;  241.325;    0.000;    0.000
451.655;  217.325;    0.000;    0.000
451.794;  207.325;    0.000;    0.000
451.932;  213.325;    0.000;    0.000
452.071;  193.325;    0.000;    0.000
452.210;  215.325;    0.000;    0.000
452.348;  189.325;    0.000;    0.000
452.487;  222.325;    0.000;    0.000
452.626;  215.325;    0.000;    0.000
452.764;  243.325;    0.000;    0.000
452.903;  212.325;    0.000;    0.000
453.042;  265.325;    0.000;    0.000
453.180; 2643.325;    0.000;    0.000
453.319; 2644.325;    0.000;    0.000
453.458; 2660.325;    0.000;    0.000
453.596; 2812.325;    0.000;    0.000
453.735; 2803.325;    0.000;    0.000
453.873; 2810.325;    0.000;    0.000
454.012; 2812.325;    0.000;    0.000
454.150; 2826.325;    0.000;    0.000
454.289; 2928.325;    0.000;    0.000
454.427; 2876.325;    0.000;    0.000
454.566; 2931.325;    0.000;    0.000
454.704; 2924.325;    0.000;    0.000
454.843; 2885.325;    0.000;    0.000
454.981; 3040.325;    0.000;    0.000
455.120; 3008.325;    0.000;    0.000
455.258; 3052.325;    0.000;    0.000
455.397; 2996.325;    0.000;    0.000
455.535; 3059.325;    0.000;    0.000
455.674; 3064.325;    0.000;    0.000
455.812; 3126.325;    0.000;    0.000
455.951; 3130.325;    0.000;    0.000
456.089; 3206.325;    0.000;    0.000
456.227; 3160.325;    0.000;    0.000
456.366; 3368.325;    0.000;    0.000
456.504; 3281.325;    0.000;    0.000
456.642; 3315.325;    0.000;    0.000
456.781; 3207.325;    0.000;    0.000
456.919; 3146.325;    0.000;    0.000
457.057; 3088.325;    0.000;    0.000
457.196; 3273.325;    0.000;    0.000
457.334; 3294.325;    0.000;    0.000
457.472; 3340.325;    0.000;    0.000
457.610; 3301.325;    0.000;    0.000
457.749; 3368.325;    0.000;    0.000
457.887; 3429.325;    0.000;    0.000
458.025; 3611.325;    0.000;    0.000
