Pellet-T1_position3_Burst5-n5
Integration time [ms]:   1.000
Averaging Nr. [scans]: 1
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: UV1
Wave   ;Sample   ;Dark     ;Reference
[nm]   ;[counts] ;[counts] ;[counts] 

236.381;  174.125;    0.000;    0.000
236.451;  198.125;    0.000;    0.000
236.520;  192.125;    0.000;    0.000
236.590;  160.125;    0.000;    0.000
236.660;  193.125;    0.000;    0.000
236.730;  162.125;    0.000;    0.000
236.799;  198.125;    0.000;    0.000
236.869;  211.125;    0.000;    0.000
236.939;  195.125;    0.000;    0.000
237.009;  182.125;    0.000;    0.000
237.078;  178.125;    0.000;    0.000
237.148;  156.125;    0.000;    0.000
237.218;  163.125;    0.000;    0.000
237.287;  165.125;    0.000;    0.000
237.357;  160.125;    0.000;    0.000
237.427;  170.125;    0.000;    0.000
237.496;  379.125;    0.000;    0.000
237.566;  311.125;    0.000;    0.000
237.636;  330.125;    0.000;    0.000
237.705;  389.125;    0.000;    0.000
237.775;  338.125;    0.000;    0.000
237.845;  355.125;    0.000;    0.000
237.914;  353.125;    0.000;    0.000
237.984;  314.125;    0.000;    0.000
238.054;  338.125;    0.000;    0.000
238.123;  332.125;    0.000;    0.000
238.193;  317.125;    0.000;    0.000
238.263;  356.125;    0.000;    0.000
238.332;  292.125;    0.000;    0.000
238.402;  364.125;    0.000;    0.000
238.471;  335.125;    0.000;    0.000
238.541;  342.125;    0.000;    0.000
238.611;  339.125;    0.000;    0.000
238.680;  333.125;    0.000;    0.000
238.750;  347.125;    0.000;    0.000
238.819;  377.125;    0.000;    0.000
238.889;  290.125;    0.000;    0.000
238.958;  327.125;    0.000;    0.000
239.028;  324.125;    0.000;    0.000
239.097;  325.125;    0.000;    0.000
239.167;  326.125;    0.000;    0.000
239.237;  340.125;    0.000;    0.000
239.306;  347.125;    0.000;    0.000
239.376;  363.125;    0.000;    0.000
239.445;  342.125;    0.000;    0.000
239.515;  334.125;    0.000;    0.000
239.584;  315.125;    0.000;    0.000
239.654;  327.125;    0.000;    0.000
239.723;  341.125;    0.000;    0.000
239.793;  312.125;    0.000;    0.000
239.862;  334.125;    0.000;    0.000
239.932;  327.125;    0.000;    0.000
240.001;  329.125;    0.000;    0.000
