Pellet-T1_position3_Burst5-n5
Integration time [ms]:   1.000
Averaging Nr. [scans]: 1
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: VIS
Wave   ;Sample   ;Dark     ;Reference
[nm]   ;[counts] ;[counts] ;[counts] 

450.961;  175.600;    0.000;    0.000
451.100;  188.600;    0.000;    0.000
451.239;  170.600;    0.000;    0.000
451.377;  240.600;    0.000;    0.000
451.516;  174.600;    0.000;    0.000
451.655;  224.600;    0.000;    0.000
451.794;  229.600;    0.000;    0.000
451.932;  248.600;    0.000;    0.000
452.071;  231.600;    0.000;    0.000
452.210;  232.600;    0.000;    0.000
452.348;  217.600;    0.000;    0.000
452.487;  215.600;    0.000;    0.000
452.626;  205.600;    0.000;    0.000
452.764;  200.600;    0.000;    0.000
452.903;  191.600;    0.000;    0.000
453.042;  273.600;    0.000;    0.000
453.180; 3620.600;    0.000;    0.000
453.319; 3621.600;    0.000;    0.000
453.458; 3669.600;    0.000;    0.000
453.596; 3678.600;    0.000;    0.000
453.735; 3707.600;    0.000;    0.000
453.873; 3753.600;    0.000;    0.000
454.012; 3717.600;    0.000;    0.000
454.150; 3775.600;    0.000;    0.000
454.289; 3820.600;    0.000;    0.000
454.427; 3974.600;    0.000;    0.000
454.566; 3951.600;    0.000;    0.000
454.705; 3915.600;    0.000;    0.000
454.843; 3936.600;    0.000;    0.000
454.981; 4059.600;    0.000;    0.000
455.120; 4014.600;    0.000;    0.000
455.258; 4184.600;    0.000;    0.000
455.397; 4060.600;    0.000;    0.000
455.535; 4225.600;    0.000;    0.000
455.674; 4168.600;    0.000;    0.000
455.812; 4284.600;    0.000;    0.000
455.950; 4117.600;    0.000;    0.000
456.089; 4221.600;    0.000;    0.000
456.227; 4289.600;    0.000;    0.000
456.366; 4319.600;    0.000;    0.000
456.504; 4417.600;    0.000;    0.000
456.642; 4495.600;    0.000;    0.000
456.781; 4355.600;    0.000;    0.000
456.919; 4261.600;    0.000;    0.000
457.057; 4302.600;    0.000;    0.000
457.196; 4353.600;    0.000;    0.000
457.334; 4396.600;    0.000;    0.000
457.472; 4398.600;    0.000;    0.000
457.610; 4481.600;    0.000;    0.000
457.749; 4434.600;    0.000;    0.000
457.887; 4623.600;    0.000;    0.000
458.025; 4801.600;    0.000;    0.000
