
Integration time [ms]:   1.000
Averaging Nr. [scans]: 1
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: VIS
Wave   ;Sample   ;Dark     ;Reference
[nm]   ;[counts] ;[counts] ;[counts] 

450.961;  207.325;    0.000;    0.000
451.100;  204.325;    0.000;    0.000
451.239;  236.325;    0.000;    0.000
451.377;  238.325;    0.000;    0.000
451.516;  208.325;    0.000;    0.000
451.655;  224.325;    0.000;    0.000
451.794;  225.325;    0.000;    0.000
451.932;  189.325;    0.000;    0.000
452.071;  204.325;    0.000;    0.000
452.210;  223.325;    0.000;    0.000
452.348;  215.325;    0.000;    0.000
452.487;  231.325;    0.000;    0.000
452.626;  205.325;    0.000;    0.000
452.764;  243.325;    0.000;    0.000
452.903;  208.325;    0.000;    0.000
453.042;  302.325;    0.000;    0.000
453.180; 4446.325;    0.000;    0.000
453.319; 4525.325;    0.000;    0.000
453.458; 4492.325;    0.000;    0.000
453.596; 4489.325;    0.000;    0.000
453.735; 4606.325;    0.000;    0.000
453.873; 4604.325;    0.000;    0.000
454.012; 4641.325;    0.000;    0.000
454.150; 4671.325;    0.000;    0.000
454.289; 4739.325;    0.000;    0.000
454.427; 4748.325;    0.000;    0.000
454.566; 4817.325;    0.000;    0.000
454.704; 4885.325;    0.000;    0.000
454.843; 4966.325;    0.000;    0.000
454.981; 4944.325;    0.000;    0.000
455.120; 4969.325;    0.000;    0.000
455.258; 5059.325;    0.000;    0.000
455.397; 5151.325;    0.000;    0.000
455.535; 5046.325;    0.000;    0.000
455.674; 5147.325;    0.000;    0.000
455.812; 5213.325;    0.000;    0.000
455.951; 5238.325;    0.000;    0.000
456.089; 5374.325;    0.000;    0.000
456.227; 5300.325;    0.000;    0.000
456.366; 5340.325;    0.000;    0.000
456.504; 5423.325;    0.000;    0.000
456.642; 5526.325;    0.000;    0.000
456.781; 5350.325;    0.000;    0.000
456.919; 5429.325;    0.000;    0.000
457.057; 5185.325;    0.000;    0.000
457.196; 5388.325;    0.000;    0.000
457.334; 5406.325;    0.000;    0.000
457.472; 5388.325;    0.000;    0.000
457.610; 5571.325;    0.000;    0.000
457.749; 5515.325;    0.000;    0.000
457.887; 5807.325;    0.000;    0.000
458.025; 5860.325;    0.000;    0.000
