Pellet_position1_Burst5-n5
Integration time [ms]:   1.000
Averaging Nr. [scans]: 1
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: NIR
Wave   ;Sample   ;Dark     ;Reference
[nm]   ;[counts] ;[counts] ;[counts] 

691.496;   38.075;    0.000;    0.000
691.696;   55.075;    0.000;    0.000
691.896;    7.075;    0.000;    0.000
692.096;   45.075;    0.000;    0.000
692.296;   11.075;    0.000;    0.000
692.496;   38.075;    0.000;    0.000
692.695;   19.075;    0.000;    0.000
692.895;   45.075;    0.000;    0.000
693.095;   10.075;    0.000;    0.000
693.295;   57.075;    0.000;    0.000
693.495;   46.075;    0.000;    0.000
693.695;   27.075;    0.000;    0.000
693.894;   26.075;    0.000;    0.000
694.094;   46.075;    0.000;    0.000
694.294;   18.075;    0.000;    0.000
694.494;  214.075;    0.000;    0.000
694.693; 1531.075;    0.000;    0.000
694.893; 1656.075;    0.000;    0.000
695.093; 1612.075;    0.000;    0.000
695.293; 1668.075;    0.000;    0.000
695.492; 1688.075;    0.000;    0.000
695.692; 1705.075;    0.000;    0.000
695.891; 1727.075;    0.000;    0.000
696.091; 1761.075;    0.000;    0.000
696.291; 1709.075;    0.000;    0.000
696.490; 1709.075;    0.000;    0.000
696.690; 1702.075;    0.000;    0.000
696.889; 1675.075;    0.000;    0.000
697.089; 1784.075;    0.000;    0.000
697.288; 1748.075;    0.000;    0.000
697.488; 1734.075;    0.000;    0.000
697.687; 1764.075;    0.000;    0.000
697.887; 1749.075;    0.000;    0.000
698.086; 1643.075;    0.000;    0.000
698.286; 1721.075;    0.000;    0.000
698.485; 1690.075;    0.000;    0.000
698.684; 1747.075;    0.000;    0.000
698.884; 1754.075;    0.000;    0.000
699.083; 1719.075;    0.000;    0.000
699.282; 1740.075;    0.000;    0.000
699.482; 1736.075;    0.000;    0.000
699.681; 1729.075;    0.000;    0.000
699.880; 1838.075;    0.000;    0.000
700.080; 1803.075;    0.000;    0.000
700.279; 1753.075;    0.000;    0.000
700.478; 1719.075;    0.000;    0.000
700.677; 1814.075;    0.000;    0.000
700.877; 1764.075;    0.000;    0.000
701.076; 1837.075;    0.000;    0.000
701.275; 1828.075;    0.000;    0.000
701.474; 1811.075;    0.000;    0.000
701.673; 1776.075;    0.000;    0.000
