
Integration time [ms]:   1.000
Averaging Nr. [scans]: 1
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: NIR
Wave   ;Sample   ;Dark     ;Reference
[nm]   ;[counts] ;[counts] ;[counts] 

691.496;   65.250;    0.000;    0.000
691.696;  100.250;    0.000;    0.000
691.896;    9.250;    0.000;    0.000
692.096;   84.250;    0.000;    0.000
692.296;   43.250;    0.000;    0.000
692.496;   91.250;    0.000;    0.000
692.695;   -1.750;    0.000;    0.000
692.895;   69.250;    0.000;    0.000
693.095;   62.250;    0.000;    0.000
693.295;   68.250;    0.000;    0.000
693.495;   64.250;    0.000;    0.000
693.695;   43.250;    0.000;    0.000
693.894;   31.250;    0.000;    0.000
694.094;   53.250;    0.000;    0.000
694.294;   56.250;    0.000;    0.000
694.494;  236.250;    0.000;    0.000
694.693; 1658.250;    0.000;    0.000
694.893; 1752.250;    0.000;    0.000
695.093; 1769.250;    0.000;    0.000
695.293; 1826.250;    0.000;    0.000
695.492; 1862.250;    0.000;    0.000
695.692; 1801.250;    0.000;    0.000
695.891; 1828.250;    0.000;    0.000
696.091; 1803.250;    0.000;    0.000
696.291; 1835.250;    0.000;    0.000
696.490; 1873.250;    0.000;    0.000
696.690; 1879.250;    0.000;    0.000
696.889; 1870.250;    0.000;    0.000
697.089; 1866.250;    0.000;    0.000
697.288; 1874.250;    0.000;    0.000
697.488; 1865.250;    0.000;    0.000
697.687; 1866.250;    0.000;    0.000
697.887; 1905.250;    0.000;    0.000
698.086; 1861.250;    0.000;    0.000
698.286; 1851.250;    0.000;    0.000
698.485; 1929.250;    0.000;    0.000
698.684; 1899.250;    0.000;    0.000
698.884; 1911.250;    0.000;    0.000
699.083; 1807.250;    0.000;    0.000
699.282; 1844.250;    0.000;    0.000
699.482; 1897.250;    0.000;    0.000
699.681; 1888.250;    0.000;    0.000
699.880; 1918.250;    0.000;    0.000
700.080; 1952.250;    0.000;    0.000
700.279; 1862.250;    0.000;    0.000
700.478; 1925.250;    0.000;    0.000
700.677; 1902.250;    0.000;    0.000
700.877; 1933.250;    0.000;    0.000
701.076; 1908.250;    0.000;    0.000
701.275; 1937.250;    0.000;    0.000
701.474; 1991.250;    0.000;    0.000
701.673; 1949.250;    0.000;    0.000
