Pellet_position2_Burst5-n5
Integration time [ms]:   1.000
Averaging Nr. [scans]: 1
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: VIS
Wave   ;Sample   ;Dark     ;Reference
[nm]   ;[counts] ;[counts] ;[counts] 

450.961;  202.725;    0.000;    0.000
451.100;  223.725;    0.000;    0.000
451.239;  210.725;    0.000;    0.000
451.377;  246.725;    0.000;    0.000
451.516;  186.725;    0.000;    0.000
451.655;  219.725;    0.000;    0.000
451.794;  197.725;    0.000;    0.000
451.932;  201.725;    0.000;    0.000
452.071;  241.725;    0.000;    0.000
452.210;  243.725;    0.000;    0.000
452.348;  225.725;    0.000;    0.000
452.487;  246.725;    0.000;    0.000
452.626;  224.725;    0.000;    0.000
452.764;  232.725;    0.000;    0.000
452.903;  223.725;    0.000;    0.000
453.042;  328.725;    0.000;    0.000
453.180; 4309.725;    0.000;    0.000
453.319; 4506.725;    0.000;    0.000
453.458; 4630.725;    0.000;    0.000
453.596; 4555.725;    0.000;    0.000
453.735; 4574.725;    0.000;    0.000
453.873; 4660.725;    0.000;    0.000
454.012; 4605.725;    0.000;    0.000
454.150; 4793.725;    0.000;    0.000
454.289; 4741.725;    0.000;    0.000
454.427; 4775.725;    0.000;    0.000
454.566; 4858.725;    0.000;    0.000
454.705; 4894.725;    0.000;    0.000
454.843; 4784.725;    0.000;    0.000
454.981; 4868.725;    0.000;    0.000
455.120; 4929.725;    0.000;    0.000
455.258; 5125.725;    0.000;    0.000
455.397; 5035.725;    0.000;    0.000
455.535; 5156.725;    0.000;    0.000
455.674; 5092.725;    0.000;    0.000
455.812; 5166.725;    0.000;    0.000
455.950; 5262.725;    0.000;    0.000
456.089; 5247.725;    0.000;    0.000
456.227; 5270.725;    0.000;    0.000
456.366; 5578.725;    0.000;    0.000
456.504; 5465.725;    0.000;    0.000
456.642; 5537.725;    0.000;    0.000
456.781; 5371.725;    0.000;    0.000
456.919; 5337.725;    0.000;    0.000
457.057; 5197.725;    0.000;    0.000
457.196; 5328.725;    0.000;    0.000
457.334; 5466.725;    0.000;    0.000
457.472; 5441.725;    0.000;    0.000
457.610; 5452.725;    0.000;    0.000
457.749; 5648.725;    0.000;    0.000
457.887; 5864.725;    0.000;    0.000
458.025; 5997.725;    0.000;    0.000
