
Integration time [ms]:   1.000
Averaging Nr. [scans]: 1
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: UV2
Wave   ;Sample   ;Dark     ;Reference
[nm]   ;[counts] ;[counts] ;[counts] 

353.533;  235.825;    0.000;    0.000
353.597;  221.825;    0.000;    0.000
353.660;  225.825;    0.000;    0.000
353.723;  201.825;    0.000;    0.000
353.786;  200.825;    0.000;    0.000
353.850;  257.825;    0.000;    0.000
353.913;  192.825;    0.000;    0.000
353.976;  224.825;    0.000;    0.000
354.039;  178.825;    0.000;    0.000
354.102;  224.825;    0.000;    0.000
354.166;  226.825;    0.000;    0.000
354.229;  230.825;    0.000;    0.000
354.292;  222.825;    0.000;    0.000
354.355;  195.825;    0.000;    0.000
354.418;  208.825;    0.000;    0.000
354.481;  209.825;    0.000;    0.000
354.545;  517.825;    0.000;    0.000
354.608;  507.825;    0.000;    0.000
354.671;  437.825;    0.000;    0.000
354.734;  440.825;    0.000;    0.000
354.797;  486.825;    0.000;    0.000
354.860;  472.825;    0.000;    0.000
354.923;  483.825;    0.000;    0.000
354.986;  444.825;    0.000;    0.000
355.050;  494.825;    0.000;    0.000
355.113;  497.825;    0.000;    0.000
355.176;  518.825;    0.000;    0.000
355.239;  495.825;    0.000;    0.000
355.302;  466.825;    0.000;    0.000
355.365;  551.825;    0.000;    0.000
355.428;  516.825;    0.000;    0.000
355.491;  547.825;    0.000;    0.000
355.554;  493.825;    0.000;    0.000
355.617;  475.825;    0.000;    0.000
355.680;  585.825;    0.000;    0.000
355.743;  522.825;    0.000;    0.000
355.806;  513.825;    0.000;    0.000
355.869;  588.825;    0.000;    0.000
355.932;  525.825;    0.000;    0.000
355.995;  516.825;    0.000;    0.000
356.058;  531.825;    0.000;    0.000
356.121;  574.825;    0.000;    0.000
356.184;  586.825;    0.000;    0.000
356.247;  506.825;    0.000;    0.000
356.310;  488.825;    0.000;    0.000
356.373;  593.825;    0.000;    0.000
356.436;  521.825;    0.000;    0.000
356.498;  541.825;    0.000;    0.000
356.561;  565.825;    0.000;    0.000
356.624;  530.825;    0.000;    0.000
356.687;  632.825;    0.000;    0.000
356.750;  534.825;    0.000;    0.000
356.813;  616.825;    0.000;    0.000
356.876;  558.825;    0.000;    0.000
