Pellet_position3_Burst5-n5
Integration time [ms]:   1.000
Averaging Nr. [scans]: 1
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: UV1
Wave   ;Sample   ;Dark     ;Reference
[nm]   ;[counts] ;[counts] ;[counts] 

236.381;  150.300;    0.000;    0.000
236.451;  200.300;    0.000;    0.000
236.520;  194.300;    0.000;    0.000
236.590;  194.300;    0.000;    0.000
236.660;  200.300;    0.000;    0.000
236.730;  177.300;    0.000;    0.000
236.799;  162.300;    0.000;    0.000
236.869;  155.300;    0.000;    0.000
236.939;  189.300;    0.000;    0.000
237.009;  130.300;    0.000;    0.000
237.078;  169.300;    0.000;    0.000
237.148;  163.300;    0.000;    0.000
237.218;  178.300;    0.000;    0.000
237.287;  201.300;    0.000;    0.000
237.357;  189.300;    0.000;    0.000
237.427;  193.300;    0.000;    0.000
237.496;  504.300;    0.000;    0.000
237.566;  469.300;    0.000;    0.000
237.636;  443.300;    0.000;    0.000
237.705;  427.300;    0.000;    0.000
237.775;  411.300;    0.000;    0.000
237.845;  436.300;    0.000;    0.000
237.914;  401.300;    0.000;    0.000
237.984;  476.300;    0.000;    0.000
238.054;  434.300;    0.000;    0.000
238.123;  424.300;    0.000;    0.000
238.193;  436.300;    0.000;    0.000
238.263;  471.300;    0.000;    0.000
238.332;  420.300;    0.000;    0.000
238.402;  459.300;    0.000;    0.000
238.471;  424.300;    0.000;    0.000
238.541;  444.300;    0.000;    0.000
238.611;  426.300;    0.000;    0.000
238.680;  430.300;    0.000;    0.000
238.750;  392.300;    0.000;    0.000
238.819;  452.300;    0.000;    0.000
238.889;  426.300;    0.000;    0.000
238.958;  411.300;    0.000;    0.000
239.028;  409.300;    0.000;    0.000
239.097;  448.300;    0.000;    0.000
239.167;  450.300;    0.000;    0.000
239.237;  475.300;    0.000;    0.000
239.306;  450.300;    0.000;    0.000
239.376;  459.300;    0.000;    0.000
239.445;  454.300;    0.000;    0.000
239.515;  435.300;    0.000;    0.000
239.584;  406.300;    0.000;    0.000
239.654;  429.300;    0.000;    0.000
239.723;  440.300;    0.000;    0.000
239.793;  449.300;    0.000;    0.000
239.862;  428.300;    0.000;    0.000
239.932;  407.300;    0.000;    0.000
240.001;  419.300;    0.000;    0.000
240.070;  408.300;    0.000;    0.000
