Pellet-T3_position2_Burst5-n5
Integration time [ms]:   1.000
Averaging Nr. [scans]: 1
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: NIR
Wave   ;Sample   ;Dark     ;Reference
[nm]   ;[counts] ;[counts] ;[counts] 

691.496;   62.900;    0.000;    0.000
691.696;   90.900;    0.000;    0.000
691.896;   42.900;    0.000;    0.000
692.096;   78.900;    0.000;    0.000
692.296;   43.900;    0.000;    0.000
692.496;   77.900;    0.000;    0.000
692.695;   39.900;    0.000;    0.000
692.895;   73.900;    0.000;    0.000
693.095;   45.900;    0.000;    0.000
693.295;  118.900;    0.000;    0.000
693.495;   73.900;    0.000;    0.000
693.695;   62.900;    0.000;    0.000
693.894;   65.900;    0.000;    0.000
694.094;   71.900;    0.000;    0.000
694.294;   47.900;    0.000;    0.000
694.494;  253.900;    0.000;    0.000
694.693; 2187.900;    0.000;    0.000
694.893; 2499.900;    0.000;    0.000
695.093; 2362.900;    0.000;    0.000
695.293; 2466.900;    0.000;    0.000
695.492; 2431.900;    0.000;    0.000
695.692; 2386.900;    0.000;    0.000
695.891; 2434.900;    0.000;    0.000
696.091; 2489.900;    0.000;    0.000
696.291; 2511.900;    0.000;    0.000
696.490; 2476.900;    0.000;    0.000
696.690; 2497.900;    0.000;    0.000
696.889; 2471.900;    0.000;    0.000
697.089; 2449.900;    0.000;    0.000
697.288; 2634.900;    0.000;    0.000
697.488; 2504.900;    0.000;    0.000
697.687; 2553.900;    0.000;    0.000
697.887; 2520.900;    0.000;    0.000
698.086; 2583.900;    0.000;    0.000
698.286; 2527.900;    0.000;    0.000
698.485; 2594.900;    0.000;    0.000
698.684; 2597.900;    0.000;    0.000
698.884; 2532.900;    0.000;    0.000
699.083; 2584.900;    0.000;    0.000
699.282; 2540.900;    0.000;    0.000
699.482; 2627.900;    0.000;    0.000
699.681; 2637.900;    0.000;    0.000
699.880; 2612.900;    0.000;    0.000
700.080; 2736.900;    0.000;    0.000
700.279; 2628.900;    0.000;    0.000
700.478; 2602.900;    0.000;    0.000
700.677; 2629.900;    0.000;    0.000
700.877; 2678.900;    0.000;    0.000
701.076; 2692.900;    0.000;    0.000
701.275; 2652.900;    0.000;    0.000
701.474; 2641.900;    0.000;    0.000
701.673; 2679.900;    0.000;    0.000
