UV1,UV2,VIS,NIR
437.5,457.175,4668.05,1878.6
371.5,442.175,4979.05,2044.6
376.5,431.175,4774.05,1970.6
411.5,458.175,4949.05,2079.6
369.5,443.175,4986.05,2174.6
427.5,449.175,5159.05,2102.6
380.5,479.175,5104.05,2135.6
427.5,408.175,5136.05,2144.6
414.5,479.175,5133.05,2113.6
421.5,458.175,5262.05,2136.6
366.5,441.175,5248.05,2140.6
375.5,460.175,5255.05,2235.6
340.5,456.175,5413.05,2185.6
398.5,500.175,5441.05,2314.6
367.5,507.175,5482.05,2169.6
404.5,493.175,5473.05,2245.6
358.5,466.175,5548.05,2195.6
385.5,442.175,5591.05,2252.6
410.5,462.175,5663.05,2162.6
380.5,482.175,5666.05,2166.6
373.5,513.175,5727.05,2208.6
428.5,509.175,5715.05,2241.6
407.5,487.175,5790.05,2253.6
382.5,525.175,5902.05,2202.6
413.5,493.175,6000.05,2218.6
407.5,503.175,5952.05,2295.6
367.5,529.175,5916.05,2292.6
406.5,514.175,5892.05,2330.6
378.5,501.175,5712.05,2282.6
379.5,563.175,5851.05,2268.6
392.5,530.175,5915.05,2333.6
376.5,505.175,6051.05,2253.6
428.5,517.175,5873.05,2386.6
372.5,511.175,6087.05,2292.6
408.5,530.175,6366.05,2335.6
361.5,521.175,6532.05,2392.6
409.5,495.175,6500.05,2228.6
417.5,557.175,6529.05,2302.6
385.5,506.175,6428.05,2335.6
375.5,537.175,6584.05,2351.6
391.5,535.175,6715.05,2389.6
403.5,568.175,6855.05,2323.6
405.5,499.175,6793.05,2366.6
391.5,535.175,7013.05,2357.6
430.5,553.175,6969.05,2409.6
338.5,540.175,6976.05,2396.6
376.5,568.175,7166.05,2457.6
353.5,496.175,7151.05,2404.6
340.5,480.175,7179.05,2256.6
426.5,535.175,7221.05,2446.6
380.5,514.175,7253.05,2359.6
381.5,538.175,7334.05,2422.6
423.5,552.175,7354.05,2369.6
387.5,616.175,7438.05,2445.6
346.5,490.175,7443.05,2404.6
405.5,553.175,7677.05,2471.6
413.5,587.175,7640.05,2436.6
424.5,524.175,7668.05,2484.6
348.5,492.175,7690.05,2486.6
368.5,531.175,7734.05,2503.6
361.5,551.175,7853.05,2521.6
407.5,566.175,7761.05,2509.6
371.5,558.175,7739.05,2557.6
371.5,526.175,7970.05,2482.6
403.5,538.175,7992.05,2567.6
401.5,556.175,8027.05,2530.6
388.5,597.175,8015.05,2496.6
398.5,583.175,8192.05,2440.6
342.5,539.175,8394.05,2554.6
394.5,533.175,8451.05,2483.6
371.5,536.175,8230.05,2506.6
363.5,599.175,8230.05,2581.6
368.5,554.175,8091.05,2613.6
396.5,558.175,8392.05,2540.6
344.5,607.175,8182.05,2553.6
402.5,570.175,8282.05,2572.6
346.5,572.175,8356.05,2644.6
375.5,541.175,8418.05,2616.6
399.5,603.175,8571.05,2755.6
383.5,594.175,8598.05,2726.6
348.5,545.175,8806.05,2595.6
352.5,560.175,8755.05,2601.6
380.5,579.175,8676.05,2723.6
402.5,606.175,8738.05,2653.6
346.5,577.175,8688.05,2688.6
375.5,541.175,8478.05,2669.6
385.5,612.175,8416.05,2652.6
383.5,578.175,8445.05,2697.6
362.5,551.175,8428.05,2668.6
388.5,629.175,8169.05,2737.6
362.5,603.175,8124.05,2714.6
367.5,612.175,8061.05,2733.6
352.5,559.175,8271.05,2716.6
360.5,552.175,8205.05,2785.6
363.5,595.175,8109.05,2744.6
378.5,614.175,8099.05,2792.6
378.5,580.175,8109.05,2810.6
371.5,560.175,8060.05,2843.6
367.5,542.175,8081.05,2870.6
370.5,630.175,8085.05,2823.6
332.5,581.175,8020.05,2849.6
384.5,574.175,7995.05,2904.6
358.5,664.175,8009.05,2909.6
342.5,571.175,7937.05,2904.6
402.5,565.175,8035.05,3127.6
327.5,639.175,7929.05,3104.6
347.5,625.175,7994.05,3223.6
378.5,598.175,8115.05,3200.6
386.5,558.175,7907.05,3211.6
348.5,619.175,8068.05,3151.6
392.5,598.175,7971.05,3055.6
364.5,645.175,8196.05,3079.6
348.5,569.175,8228.05,3061.6
384.5,603.175,8132.05,3067.6
329.5,574.175,8143.05,3111.6
411.5,615.175,8084.05,3041.6
397.5,695.175,8193.05,3131.6
391.5,617.175,8201.05,3146.6
355.5,572.175,8241.05,3017.6
385.5,631.175,8344.05,2993.6
404.5,628.175,8291.05,3116.6
397.5,610.175,8317.05,3131.6
386.5,605.175,8253.05,2972.6
362.5,620.175,8403.05,3104.6
397.5,602.175,8377.05,3064.6
399.5,622.175,8452.05,2999.6
387.5,663.175,8545.05,3137.6
384.5,627.175,8401.05,3067.6
376.5,674.175,8534.05,3101.6
425.5,655.175,8433.05,3165.6
396.5,657.175,8499.05,3213.6
386.5,642.175,8391.05,3150.6
387.5,628.175,8425.05,3073.6
423.5,623.175,8358.05,3134.6
385.5,698.175,8449.05,3104.6
389.5,625.175,8510.05,3134.6
340.5,663.175,8422.05,3082.6
378.5,662.175,8389.05,3198.6
356.5,640.175,8292.05,3142.6
347.5,671.175,8279.05,3179.6
405.5,647.175,8348.05,3134.6
405.5,680.175,8284.05,3144.6
394.5,637.175,8219.05,3172.6
371.5,666.175,8305.05,3120.6
362.5,674.175,8156.05,3127.6
387.5,632.175,8345.05,3138.6
381.5,668.175,8297.05,3129.6
352.5,651.175,8288.05,3237.6
348.5,679.175,8435.05,3307.6
404.5,685.175,8365.05,3281.6
378.5,672.175,8291.05,3132.6
411.5,708.175,8189.05,3242.6
393.5,678.175,8271.05,3248.6
399.5,664.175,8376.05,3225.6
383.5,691.175,8241.05,3242.6
374.5,650.175,8232.05,3185.6
374.5,652.175,8235.05,3152.6
375.5,661.175,8386.05,3237.6
378.5,632.175,8241.05,3238.6
378.5,668.175,8341.05,3236.6
368.5,657.175,8395.05,3290.6
402.5,696.175,8328.05,3323.6
386.5,685.175,8476.05,3294.6
364.5,708.175,8493.05,3352.6
380.5,650.175,8429.05,3337.6
431.5,649.175,8560.05,3288.6
362.5,658.175,8437.05,3349.6
380.5,645.175,8415.05,3248.6
415.5,730.175,8617.05,3331.6
415.5,661.175,8517.05,3364.6
374.5,619.175,8467.05,3351.6
396.5,657.175,8533.05,3318.6
339.5,667.175,8602.05,3403.6
354.5,715.175,8811.05,3367.6
368.5,667.175,8671.05,3423.6
360.5,704.175,8706.05,3315.6
381.5,695.175,8805.05,3418.6
398.5,652.175,8714.05,3327.6
380.5,652.175,8658.05,3423.6
349.5,694.175,8970.05,3493.6
329.5,634.175,8804.05,3405.6
369.5,732.175,8671.05,3342.6
406.5,636.175,8904.05,3513.6
357.5,744.175,9028.05,3459.6
309.5,705.175,8948.05,3436.6
373.5,673.175,9019.05,3452.6
291.5,742.175,9020.05,3484.6
368.5,708.175,9225.05,3516.6
363.5,702.175,9133.05,3591.6
329.5,771.175,9091.05,3527.6
349.5,651.175,9228.05,3465.6
300.5,687.175,9141.05,3551.6
359.5,734.175,9141.05,3589.6
386.5,695.175,9097.05,3595.6
309.5,674.175,9242.05,3517.6
329.5,676.175,9269.05,3522.6
285.5,726.175,9251.05,3531.6
330.5,751.175,9297.05,3602.6
386.5,696.175,9231.05,3595.6
